,DHL_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE,ESTAFETA_DIA_SIGUIENTE_cuenta,ESTAFETA_TERRESTRE_CONSUMO,ESTAFETA_TERRESTRE_CONSUMO_cuenta,bike,destiny_zipcode,origin_zipcode,weight
128,211.69,241.87,8619166,59.56999999999999,8608731,97.0,06000,11950,9
129,230.93,261.96000000000004,8619166,65.12,8608731,97.0,06000,11950,10
130,250.17,282.05,8619166,70.66999999999999,8608731,97.0,06000,11950,11
131,269.41,302.14,8619166,76.22,8608731,97.0,06000,11950,12
132,288.65,322.23,8619166,81.77,8608731,97.0,06000,11950,13
133,307.89,342.32000000000005,8619166,87.32,8608731,97.0,06000,11950,14
134,327.13,362.40999999999997,8619166,92.87,8608731,97.0,06000,11950,15
135,346.38,382.5,8619166,98.41999999999999,8608731,97.0,06000,11950,16
136,365.62,402.59000000000003,8619166,103.97,8608731,97.0,06000,11950,17
137,384.86,422.67999999999995,8619166,109.51999999999998,8608731,97.0,06000,11950,18
138,404.1,442.77,8619166,115.07,8608731,97.0,06000,11950,19
139,423.34,462.86,8619166,120.62,8608731,97.0,06000,11950,20
140,441.84,482.95000000000005,8619166,126.16999999999999,8608731,97.0,06000,11950,21
141,460.34,503.03999999999996,8619166,131.72,8608731,97.0,06000,11950,22
142,478.84,523.13,8619166,137.26999999999998,8608731,97.0,06000,11950,23
143,497.34,543.22,8619166,142.82,8608731,97.0,06000,11950,24
144,515.85,563.31,8619166,148.37,8608731,97.0,06000,11950,25
145,534.35,583.4,8619166,153.92,8608731,97.0,06000,11950,26
146,552.85,603.49,8619166,159.47,8608731,97.0,06000,11950,27
147,571.35,623.5799999999999,8619166,165.01999999999998,8608731,97.0,06000,11950,28
148,589.85,643.67,8619166,170.57,8608731,97.0,06000,11950,29
149,608.35,663.76,8619166,176.12,8608731,97.0,06000,11950,30
150,626.85,683.85,8619166,181.67,8608731,97.0,06000,11950,31
151,645.35,703.9399999999999,8619166,187.22,8608731,97.0,06000,11950,32
152,663.86,724.03,8619166,192.77,8608731,97.0,06000,11950,33
153,682.36,744.12,8619166,198.32,8608731,97.0,06000,11950,34
154,700.86,764.2099999999999,8619166,203.87,8608731,97.0,06000,11950,35
155,719.36,784.3,8619166,209.42,8608731,97.0,06000,11950,36
156,737.86,804.39,8619166,214.97,8608731,97.0,06000,11950,37
157,756.36,824.48,8619166,220.52,8608731,97.0,06000,11950,38
158,774.86,844.5699999999999,8619166,226.07,8608731,97.0,06000,11950,39
159,793.36,864.66,8619166,231.62,8608731,97.0,06000,11950,40
160,811.86,884.75,8619166,237.17,8608731,97.0,06000,11950,41
161,830.37,904.8399999999999,8619166,242.72,8608731,97.0,06000,11950,42
162,848.87,924.93,8619166,248.27,8608731,97.0,06000,11950,43
163,867.37,945.02,8619166,253.82,8608731,97.0,06000,11950,44
164,885.87,965.11,8619166,259.37,8608731,97.0,06000,11950,45
165,904.37,985.1999999999999,8619166,264.91999999999996,8608731,97.0,06000,11950,46
166,922.87,1005.29,8619166,270.46999999999997,8608731,97.0,06000,11950,47
167,941.37,1025.38,8619166,276.02,8608731,97.0,06000,11950,48
168,959.87,1045.47,8619166,281.57,8608731,97.0,06000,11950,49
169,978.38,1065.56,8619166,287.12,8608731,97.0,06000,11950,50
170,996.88,1085.65,8619166,292.66999999999996,8608731,97.0,06000,11950,51
171,1015.38,1105.74,8619166,298.21999999999997,8608731,97.0,06000,11950,52
172,1033.88,1125.8300000000002,8619166,303.77,8608731,97.0,06000,11950,53
173,1052.38,1145.92,8619166,309.32,8608731,97.0,06000,11950,54
174,1070.88,1166.01,8619166,314.87,8608731,97.0,06000,11950,55
175,1089.38,1186.1000000000001,8619166,320.42,8608731,97.0,06000,11950,56
176,1107.88,1206.19,8619166,325.96999999999997,8608731,97.0,06000,11950,57
177,1126.38,1226.28,8619166,331.52,8608731,97.0,06000,11950,58
178,1144.89,1246.3700000000001,8619166,337.07,8608731,97.0,06000,11950,59
179,1163.39,1266.46,8619166,342.62,8608731,97.0,06000,11950,60
180,205.22,81.15,8619166,58.19,8668532,,94000,58195,1
181,220.61,101.24000000000001,8619166,58.19,8668532,,94000,58195,2
182,239.85,121.33000000000001,8619166,63.64,8668532,,94000,58195,3
183,259.1,141.42000000000002,8619166,69.09,8668532,,94000,58195,4
184,278.34,161.51,8619166,74.4,8622603,,94000,58195,5
185,297.58,181.60000000000002,8619166,79.85000000000001,8622603,,94000,58195,6
186,316.82,201.69,8619166,82.26,5056308,,94000,58195,7
187,336.06,221.78,8619166,82.26,5056308,,94000,58195,8
188,355.3,241.87,8619166,82.26,5056308,,94000,58195,9
189,374.54,261.96000000000004,8619166,82.26,5056308,,94000,58195,10
190,393.78,282.05,8619166,87.71000000000001,5056308,,94000,58195,11
191,413.03,302.14,8619166,90.09,5522411,,94000,58195,12
192,432.27,322.23,8619166,90.09,5522411,,94000,58195,13
193,451.51,342.32000000000005,8619166,90.09,5522411,,94000,58195,14
194,470.75,362.40999999999997,8619166,90.09,5522411,,94000,58195,15
195,489.99,382.5,8619166,90.09,5522411,,94000,58195,16
196,509.23,402.59000000000003,8619166,90.09,5522411,,94000,58195,17
197,528.47,422.67999999999995,8619166,90.09,5522411,,94000,58195,18
198,547.71,442.77,8619166,90.09,5522411,,94000,58195,19
